req_id,type,description,source_doc,criterion,pass_fail_rule,primary_job_id,primary_seed,n_samples,model_version,evidence_file,verification_status,notes
KPP-01,KPP,Weight ~850 g,annexes/B-kpp-targets.md,850 g design mass,Mass measurement,N/A,N/A,0,N/A,models/system/form_factor.yaml,DESIGN_AUTHORITY,v2_kpp envelope 850 g — TRL 3 prototype mass
KPP-02,KPP,Build-up <=15 s,annexes/B-kpp-targets.md,p90 <= 15 s,p90(build_up) <= 15,baseline_10M_g3_n10000000,45,10000000,phase2_v1_full_physics,analysis/results/mega_suite/manifest.json,SENSITIVITY_PASS,Mega suite phase2/v6
KPP-03,KPP,Duration >=120 s,annexes/B-kpp-targets.md,p10 >= 120 s at good thickness,p10(duration) >= 120,baseline_10M_g3_n10000000,45,10000000,phase2_v1_full_physics,analysis/results/mega_suite/manifest.json,SENSITIVITY_PASS,Tightest sweep_burn_hi_4.4
KPP-04,KPP,Screening 30-40 sq ft,annexes/B-kpp-targets.md,p10 >= 30 sq ft single grenade,p10(area) >= 30,baseline_10M_g1_n10000000,43,10000000,phase2_v1_full_physics,analysis/results/mega_suite/manifest.json,SENSITIVITY_PASS,Single grenade job
KPP-05,KPP,Group 2-3 grenades,annexes/B-kpp-targets.md,2-3 MS-V employment,n_grenades in {2;3},baseline_10M_g2_n10000000; baseline_10M_g3_n10000000,44;45,10000000,phase2_v1_full_physics,analysis/results/mega_suite/manifest.json,SENSITIVITY_PASS,Employment doctrine + CONOPS
KPP-06,KPP,VIS+NIR+MWIR,annexes/B-kpp-targets.md,Tri-band attenuation,T bands below threshold,baseline_10M_g3_n10000000,45,10000000,phase2_v1_full_physics,analysis/results/mega_suite/manifest.json,SENSITIVITY_OR_SATURATED,v6 probabilistic — check surrogate_saturated flag
KPP-07,KPP,Fuze M201A1,docs/03-design-constraints.md,M201A1 0.7-2.0 s,fuze in band,baseline_10M_g3_n10000000,45,10000000,phase2_v1_full_physics,analysis/results/mega_suite/manifest.json,SENSITIVITY_PASS,deployment_kinematics MC
KPP-08,KPP,Throw >=20 m,docs/03-design-constraints.md,p10 throw >= 20 m stressed,p10(throw) >= 20,baseline_10M_g3_n10000000,45,10000000,phase2_v1_full_physics,analysis/results/mega_suite/manifest.json,SENSITIVITY_PASS,human_factors.yaml + deployment_kinematics
KPP-09,KPP,Form factor 7.1x3.1 in,annexes/F-form-factor-and-ergonomics.md,v2_kpp envelope,Engineering drawing,N/A,N/A,0,N/A,models/system/form_factor.yaml,DESIGN_AUTHORITY,STL + Annex F
KPP-10,KPP,Temp -20 to +50 C,annexes/B-kpp-targets.md,Operate across military temp,sweep_temp_* jobs,sweep_temp_cold_g3_n2000000; sweep_temp_hot_g3_n2000000,680;735,2000000,phase2_v1_full_physics,analysis/results/mega_suite/manifest.json,SENSITIVITY_PASS,Hot bin tightest duration margin
KPP-11,KPP,Wind <=15 mph,annexes/B-kpp-targets.md,Wind tolerance,baseline_10M_wind_*_g3,baseline_10M_wind_high_g3_n10000000,208,10000000,phase2_v1_full_physics,analysis/results/mega_suite/manifest.json,SENSITIVITY_PASS,FM 3-50 planning band
KPP-12,KPP,Respiratory acceptable,docs/03-design-constraints.md,Non-lethal irritation,Toxicology,N/A,N/A,0,N/A,N/A,UNVERIFIED,Phase 4 safety — not closed by M&S
KPP-13,KPP,Cost $75-150,annexes/B-kpp-targets.md,Unit cost target,Cost model,N/A,N/A,0,N/A,N/A,PLANNED,Phase 4 manufacturing
KPP-14,KPP,Issue 1-2 per soldier,annexes/B-kpp-targets.md,Logistics quantity,Doctrine,N/A,N/A,0,N/A,docs/04-conops-use-cases.md,ACCEPTED,Not physics MC
MOE-01,MoE,Fused EO/IR lock >=60 s,docs/02-operational-requirements.md,lock_break >= 60 s with 2-3 MS-V+smoke,mean(lock_break>=60) target,baseline_10M_g3_n10000000,45,10000000,phase2_v1_full_physics,analysis/results/mega_suite/manifest.json,SENSITIVITY_OR_SATURATED,v6 lock_break_probability — see A-013
MOE-02,MoE,CASEVAC window,docs/04-conops-use-cases.md,T+15-135 s movement,CONOPS timeline,sim/run_conops.py,4242,100000,phase2_v1_full_physics,analysis/results/conops/conops_summary.json,CONOPS_PASS,See analysis/CONOPS_REPORT.md
LIM-01,Limitation,Not standalone,docs/07-limitations-and-risks.md,Requires visual smoke,Doctrine,ACCEPTED,N/A,0,N/A,N/A,ACCEPTED,
LIM-02,Limitation,Not RF defeat,docs/07-limitations-and-risks.md,Obscuration only,Architecture,ACCEPTED,N/A,0,N/A,N/A,ACCEPTED,
LIM-03,Limitation,TRL 2-3 ceiling,MasterPlan.md,No empirical validation,Program,ACCEPTED,N/A,0,N/A,N/A,ACCEPTED,
